,Country Name,fit_index,days
0,Afghanistan,0.01852,57.90000
1,Africa,0.08896,73.10000
2,Albania,0.00100,57.00000
3,Algeria,0.04477,72.20000
4,Andorra,0.43048,10.80000
5,Angola,0.01329,49.00000
6,Antigua and Barbuda,0.30838,6.40000
7,Argentina,0.03048,72.10000
8,Armenia,0.04638,68.80000
9,Asia,0.20349,77.90000
10,Australia,0.08444,37.10000
11,Austria,0.05671,62.90000
12,Azerbaijan,0.01670,66.10000
13,Bahamas,0.10010,18.20000
14,Bahrain,0.11227,39.20000
15,Bangladesh,0.05417,70.90000
16,Barbados,0.22369,16.20000
17,Belarus,0.18549,70.30000
18,Belgium,0.02973,62.30000
19,Belize,0.15075,22.80000
20,Benin,0.08362,6.50000
21,Bermuda,0.29900,6.00000
22,Bolivia,0.04519,64.50000
23,Bosnia and Herzegovina,0.02436,53.50000
24,Botswana,0.10480,13.80000
25,Brazil,0.03510,72.30000
26,Brunei,0.26238,7.10000
27,Bulgaria,0.00089,68.90000
28,Burkina Faso,0.25539,13.30000
29,Cameroon,0.00412,12.80000
30,Canada,0.01944,72.40000
31,Cape Verde,0.32592,26.00000
32,Cayman Islands,0.41329,1.40000
33,Chile,0.02010,71.20000
34,China,0.05947,8.60000
35,Colombia,0.00845,71.10000
36,Congo,0.13464,10.10000
37,Costa Rica,0.14595,44.30000
38,Cote d'Ivoire,0.10750,30.60000
39,Croatia,0.05843,63.90000
40,Cuba,0.02185,47.70000
41,Curacao,0.29503,15.10000
42,Cyprus,0.11357,35.70000
43,Czechia,0.11553,62.90000
44,Democratic Republic of Congo,0.01975,25.60000
45,Denmark,0.07243,55.70000
46,Djibouti,0.18287,9.30000
47,Dominican Republic,0.00913,60.30000
48,Ecuador,0.02883,65.40000
49,Egypt,0.05446,72.20000
50,El Salvador,0.05412,64.00000
51,Estonia,0.01290,44.60000
52,Ethiopia,0.07597,63.40000
53,Europe,0.06265,75.10000
54,European Union,0.02656,75.10000
55,Finland,0.03369,49.00000
56,France,0.01788,71.50000
57,Gabon,0.13956,14.30000
58,Gambia,0.21966,12.10000
59,Georgia,0.04829,55.40000
60,Germany,0.02128,71.50000
61,Ghana,0.02894,27.20000
62,Greece,0.09583,65.80000
63,Guatemala,0.04026,67.50000
64,Guyana,0.00383,42.40000
65,High income,0.03152,75.70000
66,Honduras,0.01389,52.40000
67,Hong Kong,0.24617,15.90000
68,Hungary,0.11724,58.10000
69,Iceland,0.37208,5.20000
70,India,0.05727,71.80000
71,Indonesia,0.13762,72.50000
72,International,0.29900,1.00000
73,Iran,0.07317,75.10000
74,Iraq,0.12183,72.00000
75,Ireland,0.01941,38.70000
76,Isle of Man,0.24900,4.00000
77,Israel,0.04038,62.10000
78,Italy,0.10874,74.90000
79,Jamaica,0.03040,51.60000
80,Japan,0.00228,70.30000
81,Jordan,0.06160,52.40000
82,Kazakhstan,0.02811,23.70000
83,Kenya,0.05485,60.70000
84,Kosovo,0.12400,40.00000
85,Kuwait,0.04312,58.70000
86,Kyrgyzstan,0.10287,53.50000
87,Latvia,0.09257,49.80000
88,Lebanon,0.05280,61.90000
89,Liberia,0.24695,7.30000
90,Libya,0.13148,54.80000
91,Liechtenstein,0.44900,6.00000
92,Lithuania,0.13440,56.50000
93,Low income,0.08523,72.30000
94,Lower middle income,0.21629,75.20000
95,Luxembourg,0.09626,29.20000
96,Malawi,0.13470,38.10000
97,Malaysia,0.00688,59.50000
98,Mali,0.21675,33.80000
99,Malta,0.11595,29.50000
100,Mauritania,0.10349,35.60000
101,Mauritius,0.08044,9.70000
102,Mexico,0.09040,67.90000
103,Moldova,0.06652,70.20000
104,Monaco,0.48970,4.30000
105,Montenegro,0.06411,55.30000
106,Morocco,0.05430,68.10000
107,Myanmar,0.01873,44.10000
108,Netherlands,0.01384,69.30000
109,New Zealand,0.45987,4.60000
110,Nicaragua,0.48471,9.80000
111,Niger,0.29670,17.40000
112,Nigeria,0.05874,46.70000
113,North America,0.06202,74.10000
114,North Macedonia,0.05732,66.70000
115,Norway,0.15733,26.40000
116,Oceania,0.05194,51.00000
117,Oman,0.07057,40.10000
118,Pakistan,0.06412,70.50000
119,Palestine,0.04574,52.20000
120,Panama,0.00555,67.20000
121,Paraguay,0.19360,55.60000
122,Peru,0.07090,69.10000
123,Philippines,0.06896,71.90000
124,Poland,0.02529,70.00000
125,Portugal,0.00058,70.90000
126,Qatar,0.18575,30.20000
127,Romania,0.04671,71.90000
128,Russia,0.03284,71.60000
129,San Marino,0.41150,8.00000
130,Saudi Arabia,0.08017,66.90000
131,Senegal,0.08230,46.70000
132,Serbia,0.03937,68.80000
133,Singapore,0.22785,20.80000
134,Slovakia,0.03193,47.20000
135,Slovenia,0.06657,55.50000
136,South Africa,0.01607,69.70000
137,South America,0.06289,73.10000
138,South Korea,0.00070,66.60000
139,Spain,0.00442,52.60000
140,Sri Lanka,0.00942,48.00000
141,Sudan,0.05372,26.50000
142,Suriname,0.07731,37.80000
143,Sweden,0.02350,40.00000
144,Switzerland,0.01263,60.90000
145,Syria,0.11361,58.70000
146,Taiwan,0.22943,11.50000
147,Tanzania,0.07023,2.60000
148,Thailand,0.06172,39.70000
149,Togo,0.35834,18.20000
150,Trinidad and Tobago,0.11062,41.30000
