,Country Name,2017,2018,2019,Populaition(2021)
1,Afghanistan,36.000,14.127,494.179,38928346
2,Angola,39.000,2.540,2809.626,32866272
3,Albania,62.000,5.232,5395.660,2877797
4,Andorra,76.000,6.752,40897.331,77265
5,United Arab Emirates,77.000,4.145,42701.443,9890402
6,Argentina,74.000,9.666,10056.638,45195774
7,Armenia,68.000,10.005,4604.646,2963243
9,Antigua and Barbuda,72.000,4.851,17376.650,97929
10,Australia,87.000,9.155,54875.286,25499884
12,Azerbaijan,63.000,3.556,4805.754,10139177
13,Burundi,42.000,8.245,228.214,11890784
14,Belgium,85.000,10.765,46591.492,11589623
15,Benin,38.000,2.504,1219.516,12123200
16,Bangladesh,48.000,2.508,1855.740,164689383
17,Bulgaria,67.000,7.343,9879.269,6948445
18,Bahrain,72.000,4.144,23551.930,1701575
19,Bosnia and Herzegovina,65.000,8.891,6119.762,3280819
20,Belarus,71.000,5.527,6837.718,9449323
21,Belize,65.000,5.819,5078.810,397628
23,Bolivia,65.000,6.642,3552.068,11673021
24,Brazil,75.000,9.465,8897.553,212559417
25,Barbados,74.000,6.563,18148.498,287375
26,Bhutan,60.000,3.243,3322.863,771608
27,Botswana,54.000,5.969,7203.064,2351627
28,Central African Republic,30.000,10.995,467.908,4829767
29,Canada,89.000,10.806,46338.341,37742154
30,Switzerland,86.000,11.380,85334.519,8654622
32,Chile,78.000,9.159,14741.714,19116201
33,China,80.000,5.168,10143.838,1439323776
34,Cameroon,43.000,3.465,1533.096,26545863
35,Colombia,77.000,7.625,6424.979,50882891
36,Comoros,42.000,4.902,1401.542,869601
37,Cabo Verde,68.000,5.266,3603.775,555987
38,Costa Rica,77.000,7.296,12693.828,5094118
39,Cuba,81.000,11.187,9125.879,11326616
41,Cyprus,79.000,6.770,29206.077,1207359
42,Germany,85.000,11.450,46794.899,83783942
43,Djibouti,49.000,2.263,3414.916,988000
44,Dominica,66.000,6.475,8516.280,71986
45,Denmark,84.000,10.071,59775.735,5792202
46,Dominican Republic,64.000,5.733,8282.117,10847910
47,Algeria,75.000,6.163,3989.668,43851044
48,Ecuador,78.000,7.865,6222.525,17643054
50,Spain,85.000,8.990,29555.316,46754778
51,Estonia,77.000,6.686,23397.120,1326535
52,Ethiopia,37.000,3.308,855.761,114963588
53,Finland,83.000,9.036,48628.642,5540720
54,Fiji,59.000,3.420,6175.891,896445
55,France,84.000,11.186,40578.644,65273511
56,Gabon,51.000,2.745,7766.997,2225734
57,United Kingdom,87.000,9.904,43070.498,67886011
58,Georgia,65.000,7.113,4697.984,3989167
59,Ghana,42.000,3.489,2246.626,31072940
61,Guinea,35.000,3.639,1058.143,13132795
62,Guinea-Bissau,38.000,7.626,749.454,1968001
63,Equatorial Guinea,43.000,3.062,8419.933,1402985
64,Greece,77.000,7.959,19133.758,10423054
65,Grenada,69.000,4.576,10827.435,112523
67,Guatemala,56.000,6.124,4638.635,17915568
69,Guyana,73.000,4.905,6609.511,786552
70,Honduras,60.000,7.219,2556.457,9904607
71,Croatia,72.000,6.784,15311.767,4105267
72,Haiti,46.000,4.575,1312.771,11402528
73,Hungary,71.000,6.546,16735.660,9660351
74,Indonesia,55.000,2.868,4135.202,273523615
76,India,57.000,2.952,2100.751,1380004385
